trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",30,0,-159.95643415070546,"{0: 15, 1: 5, 2: 7, 3: 2, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-13.915742431044837,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-42.00530270462382,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-40.65745498787655,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-222.14318141678612,"{0: 8, 1: 2, 2: 6, 3: 0, 4: 4}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",30,1,-171.76586493654042,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 4}",1
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",30,0,-171.89717008584074,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-124.14670805956517,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-179.6550664726695,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-134.35068682987153,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",25,0,-81.24985706989627,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",35,0,-132.17340674016484,"{0: 23, 1: 2, 2: 8, 3: 1, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,0,-224.76951288906332,"{0: 9, 1: 6, 2: 6, 3: 1, 4: 3}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,4,-156.97156930689087,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 3}",1
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-199.7494846136051,"{0: 7, 1: 3, 2: 7, 3: 0, 4: 3}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-79.09381489017846,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",25,0,-105.5406687534795,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,0,-155.09306183981369,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",30,0,-139.52571457865645,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-74.28603729092929,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-57.0903156455175,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",30,0,-112.45487263858337,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
